Hubs			Lower bound		Current_obj_fun		Best_obj_fun
[0,1,6,9,13]   		88534.483		NaN				79263.617
[0,1,6,9,14]   		101839.936		NaN				79263.617
[0,1,6,9,15]   		100694.064		NaN				79263.617
[0,1,6,9,16]   		91836.079		NaN				79263.617
[0,1,6,9,17]   		85374.497		NaN				79263.617
[0,1,6,9,18]   		90046.082		NaN				79263.617
[0,1,6,9,19]   		96906.062		NaN				79263.617
[0,1,6,10,11]  		86647.502		NaN				79263.617
[0,1,6,10,12]  		92540.259		NaN				79263.617
[0,1,6,10,13]  		89039.752		NaN				79263.617
[0,1,6,10,14]  		99146.123		NaN				79263.617
[0,1,6,10,15]  		97971.713		NaN				79263.617
[0,1,6,10,16]  		92893.121		NaN				79263.617
[0,1,6,10,17]  		86703.932		NaN				79263.617
[0,1,6,10,18]  		90994.003		NaN				79263.617
[0,1,6,10,19]  		95972.461		NaN				79263.617
[0,1,6,11,12]  		88706.563		NaN				79263.617
[0,1,6,11,13]  		91516.828		NaN				79263.617
[0,1,6,11,14]  		91498.554		NaN				79263.617
[0,1,6,11,15]  		91434.590		NaN				79263.617
[0,1,6,11,16]  		88090.147		NaN				79263.617
[0,1,6,11,17]  		90651.852		NaN				79263.617
[0,1,6,11,18]  		89426.824		NaN				79263.617
[0,1,6,11,19]  		83878.592		NaN				79263.617
[0,1,6,12,13]  		93000.305		NaN				79263.617
[0,1,6,12,14]  		99362.857		NaN				79263.617
[0,1,6,12,15]  		97853.600		NaN				79263.617
[0,1,6,12,16]  		95136.507		NaN				79263.617
[0,1,6,12,17]  		89195.265		NaN				79263.617
[0,1,6,12,18]  		97968.780		NaN				79263.617
[0,1,6,12,19]  		89222.011		NaN				79263.617
[0,1,6,13,14]  		99086.435		NaN				79263.617
[0,1,6,13,15]  		97620.728		NaN				79263.617
[0,1,6,13,16]  		91071.936		NaN				79263.617
[0,1,6,13,17]  		94106.606		NaN				79263.617
[0,1,6,13,18]  		92155.871		NaN				79263.617
[0,1,6,13,19]  		85942.262		NaN				79263.617
[0,1,6,14,15]  		111699.615		NaN				79263.617
[0,1,6,14,16]  		96340.253		NaN				79263.617
[0,1,6,14,17]  		95322.684		NaN				79263.617
[0,1,6,14,18]  		97571.012		NaN				79263.617
[0,1,6,14,19]  		95523.300		NaN				79263.617
[0,1,6,15,16]  		95272.397		NaN				79263.617
[0,1,6,15,17]  		94030.971		NaN				79263.617
[0,1,6,15,18]  		96095.405		NaN				79263.617
[0,1,6,15,19]  		95276.349		NaN				79263.617
[0,1,6,16,17]  		87658.861		NaN				79263.617
[0,1,6,16,18]  		94297.744		NaN				79263.617
[0,1,6,16,19]  		89811.623		NaN				79263.617
[0,1,6,17,18]  		88332.790		NaN				79263.617
[0,1,6,17,19]  		84386.874		NaN				79263.617
[0,1,6,18,19]  		87721.316		NaN				79263.617
