Hubs			Lower bound		Current_obj_fun		Best_obj_fun
[0,1,5,9,19]		105498.956		NaN				89800.240
[0,1,5,10,12]		94787.949		NaN				89800.240
[0,1,5,10,13]		93367.039		NaN				89800.240
[0,1,5,10,14]		104398.026		NaN				89800.240
[0,1,5,10,15]		104671.513		NaN				89800.240
[0,1,5,10,16]		96494.756		NaN				89800.240
[0,1,5,10,18]		93103.567		NaN				89800.240
[0,1,5,10,19]		104875.700		NaN				89800.240
[0,1,5,11,13]		91004.806		NaN				89800.240
[0,1,5,11,14]		91028.562		NaN				89800.240
[0,1,5,11,15]		91061.150		NaN				89800.240
[0,1,5,12,13]		90978.408		NaN				89800.240
[0,1,5,12,14]		95742.356		NaN				89800.240
[0,1,5,12,15]		95733.058		NaN				89800.240
[0,1,5,12,16]		93509.405		NaN				89800.240
[0,1,5,12,18]		95658.132		NaN				89800.240
[0,1,5,12,19]		94186.807		NaN				89800.240
[0,1,5,13,14]		95440.716		NaN				89800.240
[0,1,5,13,15]		95334.169		NaN				89800.240
[0,1,5,13,16]		91034.959		NaN				89800.240
[0,1,5,13,17]		91806.490		NaN				89800.240
[0,1,5,13,18]		90040.838		NaN				89800.240
[0,1,5,13,19]		93103.274		NaN				89800.240
[0,1,5,14,15]		106676.695		NaN				89800.240
[0,1,5,14,16]		96748.725		NaN				89800.240
[0,1,5,14,17]		91591.666		NaN				89800.240
[0,1,5,14,18]		93975.958		NaN				89800.240
[0,1,5,14,19]		104545.416		NaN				89800.240
[0,1,5,15,16]		97006.587		NaN				89800.240
[0,1,5,15,17]		91867.592		NaN				89800.240
[0,1,5,15,18]		94080.368		NaN				89800.240
[0,1,5,15,19]		104839.847		NaN				89800.240
[0,1,5,16,18]		92517.695		NaN				89800.240
[0,1,5,16,19]		95922.569		NaN				89800.240
[0,1,5,18,19]		92472.159		NaN				89800.240
[0,1,6,7,8]		95605.588		NaN				89800.240
[0,1,6,7,9]		92406.747		NaN				89800.240
[0,1,6,7,10]		93164.478		NaN				89800.240
[0,1,6,7,11]		97065.085		NaN				89800.240
[0,1,6,7,12]		95945.206		NaN				89800.240
[0,1,6,7,13]		103198.024		NaN				89800.240
[0,1,6,7,14]		103619.771		NaN				89800.240
[0,1,6,7,15]		102960.697		NaN				89800.240
[0,1,6,7,16]		94562.160		NaN				89800.240
[0,1,6,7,17]		104472.537		NaN				89800.240
[0,1,6,7,18]		94621.272		NaN				89800.240
[0,1,6,8,9]		115186.265		NaN				89800.240
[0,1,6,8,10]		111271.962		NaN				89800.240
[0,1,6,8,11]		93805.019		NaN				89800.240
[0,1,6,8,12]		102393.990		NaN				89800.240
[0,1,6,8,13]		100409.729		NaN				89800.240
[0,1,6,8,14]		120205.778		NaN				89800.240
[0,1,6,8,15]		116353.752		NaN				89800.240
[0,1,6,8,16]		102829.268		NaN				89800.240
[0,1,6,8,17]		95605.588		NaN				89800.240
[0,1,6,8,18]		100321.141		NaN				89800.240
[0,1,6,8,19]		107913.344		NaN				89800.240
[0,1,6,9,10]		109525.885		NaN				89800.240
[0,1,6,9,11]		91089.046		NaN				89800.240
[0,1,6,9,12]		98653.375		NaN				89800.240
[0,1,6,9,13]		96962.623		NaN				89800.240
[0,1,6,9,14]		114094.588		NaN				89800.240
[0,1,6,9,15]		111512.667		NaN				89800.240
[0,1,6,9,16]		99946.709		NaN				89800.240
[0,1,6,9,17]		92406.747		NaN				89800.240
[0,1,6,9,18]		96550.573		NaN				89800.240
[0,1,6,9,19]		107585.913		NaN				89800.240
[0,1,6,10,11]		92073.202		NaN				89800.240
[0,1,6,10,12]		100038.724		NaN				89800.240
[0,1,6,10,13]		97396.159		NaN				89800.240
[0,1,6,10,14]		111437.087		NaN				89800.240
[0,1,6,10,15]		109374.133		NaN				89800.240
[0,1,6,10,16]		101624.684		NaN				89800.240
[0,1,6,10,17]		93164.478		NaN				89800.240
[0,1,6,10,18]		98107.651		NaN				89800.240
[0,1,6,10,19]		106964.477		NaN				89800.240
[0,1,6,11,12]		96436.690		NaN				89800.240
[0,1,6,11,13]		99309.006		NaN				89800.240
[0,1,6,11,14]		100058.163		NaN				89800.240
[0,1,6,11,15]		98888.759		NaN				89800.240
[0,1,6,11,16]		94988.280		NaN				89800.240
[0,1,6,11,17]		97065.085		NaN				89800.240
[0,1,6,11,18]		95497.450		NaN				89800.240
[0,1,6,12,13]		101018.172		NaN				89800.240
[0,1,6,12,14]		109450.852		NaN				89800.240
[0,1,6,12,15]		106963.480		NaN				89800.240
[0,1,6,12,16]		103300.805		NaN				89800.240
[0,1,6,12,17]		95945.206		NaN				89800.240
[0,1,6,12,18]		107559.047		NaN				89800.240
[0,1,6,12,19]		95603.353		NaN				89800.240
[0,1,6,13,14]		108849.788		NaN				89800.240
[0,1,6,13,15]		107681.221		NaN				89800.240
[0,1,6,13,16]		99176.523		NaN				89800.240
[0,1,6,13,17]		103198.024		NaN				89800.240
[0,1,6,13,18]		99642.733		NaN				89800.240
[0,1,6,13,19]		94028.695		NaN				89800.240
[0,1,6,14,15]		126470.608		NaN				89800.240
[0,1,6,14,16]		107319.600		NaN				89800.240
[0,1,6,14,17]		103619.771		NaN				89800.240
[0,1,6,14,18]		106621.853		NaN				89800.240
[0,1,6,14,19]		107370.140		NaN				89800.240
[0,1,6,15,16]		105368.714		NaN				89800.240
[0,1,6,15,17]		102960.697		NaN				89800.240
[0,1,6,15,18]		104745.180		NaN				89800.240
[0,1,6,15,19]		106106.552		NaN				89800.240
[0,1,6,16,17]		94562.160		NaN				89800.240
[0,1,6,16,18]		102173.128		NaN				89800.240
[0,1,6,16,19]		97293.674		NaN				89800.240
[0,1,6,17,18]		94621.272		NaN				89800.240
[0,1,6,18,19]		93787.232		NaN				89800.240
[0,1,7,8,9]		92827.263		NaN				89800.240
[0,1,7,8,10]		92423.169		NaN				89800.240
[0,1,7,8,11]		90924.243		NaN				89800.240
[0,1,7,8,13]		95153.269		NaN				89800.240
[0,1,7,8,14]		94874.337		NaN				89800.240
[0,1,7,8,15]		94712.347		NaN				89800.240
[0,1,7,8,16]		89879.926		NaN				89800.240
[0,1,7,8,17]		96429.683		NaN				89800.240
[0,1,7,9,10]		90854.659		NaN				89800.240
[0,1,7,9,13]		91969.235		NaN				89800.240
[0,1,7,9,14]		91785.532		NaN				89800.240
[0,1,7,9,15]		91673.491		NaN				89800.240
[0,1,7,9,17]		93292.564		NaN				89800.240
[0,1,7,10,13]		92725.513		NaN				89800.240
[0,1,7,10,14]		92453.889		NaN				89800.240
[0,1,7,10,15]		92292.303		NaN				89800.240
[0,1,7,10,17]		93980.110		NaN				89800.240
[0,1,7,11,12]		93654.036		NaN				89800.240
[0,1,7,11,13]		97339.757		NaN				89800.240
[0,1,7,11,14]		96679.615		NaN				89800.240
[0,1,7,11,15]		96146.197		NaN				89800.240
[0,1,7,11,16]		92293.687		NaN				89800.240
[0,1,7,11,17]		98004.096		NaN				89800.240
[0,1,7,11,18]		92745.515		NaN				89800.240
[0,1,7,12,13]		96021.365		NaN				89800.240
[0,1,7,12,14]		95454.133		NaN				89800.240
[0,1,7,12,15]		94922.887		NaN				89800.240
[0,1,7,12,16]		92005.245		NaN				89800.240
[0,1,7,12,17]		96832.013		NaN				89800.240
[0,1,7,12,18]		95208.532		NaN				89800.240
[0,1,7,12,19]		84846.152		89292.271		89292.271
[0,1,7,13,14]		102597.205		NaN				89292.271
[0,1,7,13,15]		102289.660		NaN				89292.271
[0,1,7,13,16]		94416.887		NaN				89292.271
[0,1,7,13,17]		104057.725		NaN				89292.271
[0,1,7,13,18]		94686.015		NaN				89292.271
[0,1,7,14,15]		102249.845		NaN				89292.271
[0,1,7,14,16]		93982.477		NaN				89292.271
[0,1,7,14,17]		103907.666		NaN				89292.271
[0,1,7,14,18]		94014.333		NaN				89292.271
[0,1,7,15,16]		93646.043		NaN				89292.271
[0,1,7,15,17]		103566.074		NaN				89292.271
[0,1,7,15,18]		93550.154		NaN				89292.271
[0,1,7,16,17]		95414.108		NaN				89292.271
[0,1,7,16,18]		91240.279		NaN				89292.271
[0,1,7,17,18]		95448.178		NaN				89292.271
[0,1,7,17,19]		90622.700		NaN				89292.271
[0,1,7,18,19]		83780.271		88389.526		88389.526
[0,1,8,9,10]		110333.446		NaN				88389.526
[0,1,8,9,11]		91793.529		NaN				88389.526
[0,1,8,9,12]		99353.966		NaN				88389.526
[0,1,8,9,13]		97507.430		NaN				88389.526
[0,1,8,9,14]		114074.046		NaN				88389.526
[0,1,8,9,15]		112032.750		NaN				88389.526
[0,1,8,9,16]		100651.713		NaN				88389.526
[0,1,8,9,17]		92827.263		NaN				88389.526
[0,1,8,9,18]		97285.974		NaN				88389.526
[0,1,8,9,19]		108368.089		NaN				88389.526
[0,1,8,10,11]		91676.266		NaN				88389.526
[0,1,8,10,12]		99407.626		NaN				88389.526
[0,1,8,10,13]		96793.059		NaN				88389.526
[0,1,8,10,14]		110081.045		NaN				88389.526
[0,1,8,10,15]		108551.237		NaN				88389.526
[0,1,8,10,16]		101058.241		NaN				88389.526
