Hubs		Lower bound		Best objective function
[0,1,4,6,16]		104044.82955265517		89800.23993895804
[0,1,4,6,17]		102944.5765581116		89800.23993895804
[0,1,4,6,18]		103926.15539438126		89800.23993895804
[0,1,4,6,19]		103640.6094647189		89800.23993895804
[0,1,4,7,8]		94717.98671017385		89800.23993895804
[0,1,4,7,9]		91587.37358175575		89800.23993895804
[0,1,4,7,10]		92354.7719840118		89800.23993895804
[0,1,4,7,11]		96400.86110158685		89800.23993895804
[0,1,4,7,12]		95137.47841787677		89800.23993895804
[0,1,4,7,13]		102353.59760078987		89800.23993895804
[0,1,4,7,14]		102386.93203761328		89800.23993895804
[0,1,4,7,15]		101876.49681463295		89800.23993895804
[0,1,4,7,16]		93753.66283814996		89800.23993895804
[0,1,4,7,17]		103677.73816283894		89800.23993895804
[0,1,4,7,18]		93730.29182445194		89800.23993895804
[0,1,4,7,19]		88895.2690797892		89800.23993895804
[0,1,4,8,9]		110412.81059127655		89800.23993895804
[0,1,4,8,10]		106809.18025638034		89800.23993895804
[0,1,4,8,11]		92182.88099792515		89800.23993895804
[0,1,4,8,12]		98865.63136774312		89800.23993895804
[0,1,4,8,13]		98937.99275796027		89800.23993895804
[0,1,4,8,14]		115171.08368856182		89800.23993895804
[0,1,4,8,15]		111772.24782053822		89800.23993895804
[0,1,4,8,16]		98920.21954361338		89800.23993895804
[0,1,4,8,17]		94717.98671017385		89800.23993895804
[0,1,4,8,18]		97022.96007098554		89800.23993895804
[0,1,4,8,19]		103438.46753523633		89800.23993895804
[0,1,4,9,10]		105159.64045106388		89800.23993895804
[0,1,4,9,11]		89543.53484432734		89800.23993895804
[0,1,4,9,12]		95251.34756829315		89800.23993895804
[0,1,4,9,13]		95504.8510871297		89800.23993895804
[0,1,4,9,14]		109700.8858781944		89800.23993895804
[0,1,4,9,15]		107118.66289796155		89800.23993895804
[0,1,4,9,16]		96163.99223966428		89800.23993895804
[0,1,4,9,17]		91587.37358175575		89800.23993895804
[0,1,4,9,18]		93378.72348817185		89800.23993895804
[0,1,4,9,19]		103263.65916188224		89800.23993895804
[0,1,4,10,11]		90536.64700633741		89800.23993895804
[0,1,4,10,12]		96459.79145716541		89800.23993895804
[0,1,4,10,13]		95993.49616649255		89800.23993895804
[0,1,4,10,14]		107218.34697177498		89800.23993895804
[0,1,4,10,15]		104839.82952470945		89800.23993895804
[0,1,4,10,16]		97665.06226639771		89800.23993895804
[0,1,4,10,17]		92354.7719840118		89800.23993895804
[0,1,4,10,18]		94758.89620242134		89800.23993895804
[0,1,4,10,19]		102471.10551073102		89800.23993895804
[0,1,4,11,12]		94934.7760632828		89800.23993895804
[0,1,4,11,13]		98297.15560655008		89800.23993895804
[0,1,4,11,14]		98124.2045913441		89800.23993895804
[0,1,4,11,15]		97211.73793677425		89800.23993895804
[0,1,4,11,16]		93494.5690650829		89800.23993895804
[0,1,4,11,17]		96400.86110158682		89800.23993895804
[0,1,4,11,18]		93918.9874018021		89800.23993895804
[0,1,4,11,19]		87362.57728405975		89800.23993895804
[0,1,4,12,13]		99831.37155759969		89800.23993895804
[0,1,4,12,14]		106131.57757163499		89800.23993895804
[0,1,4,12,15]		103468.00537568983		89800.23993895804
[0,1,4,12,16]		100029.24402175669		89800.23993895804
[0,1,4,12,17]		95137.47841787677		89800.23993895804
[0,1,4,12,18]		104512.85452765971		89800.23993895804
[0,1,4,12,19]		91961.22014958928		89800.23993895804
[0,1,4,13,14]		107400.95459483091		89800.23993895804
[0,1,4,13,15]		106109.38905035798		89800.23993895804
[0,1,4,13,16]		97917.72268858491		89800.23993895804
[0,1,4,13,17]		102353.59760078987		89800.23993895804
[0,1,4,13,18]		98361.29986369441		89800.23993895804
[0,1,4,13,19]		92302.22881939894		89800.23993895804
[0,1,4,14,15]		122363.78463106767		89800.23993895804
[0,1,4,14,16]		103729.82666615875		89800.23993895804
[0,1,4,14,17]		102386.93203761328		89800.23993895804
[0,1,4,14,18]		103519.3464034365		89800.23993895804
[0,1,4,14,19]		103199.2506153961		89800.23993895804
[0,1,4,15,16]		101492.54917384834		89800.23993895804
[0,1,4,15,17]		101876.49681463292		89800.23993895804
[0,1,4,15,18]		101414.7848516235		89800.23993895804
[0,1,4,15,19]		101660.5724114526		89800.23993895804
[0,1,4,16,17]		93753.66283814996		89800.23993895804
[0,1,4,16,18]		99064.71082504542		89800.23993895804
[0,1,4,16,19]		93270.85208326393		89800.23993895804
[0,1,4,17,18]		93730.29182445194		89800.23993895804
[0,1,4,17,19]		88895.2690797892		89800.23993895804
[0,1,4,18,19]		90375.27667433373		89800.23993895804
[0,1,5,6,7]		92385.61521448212		89800.23993895804
[0,1,5,6,8]		107263.99179704307		89800.23993895804
[0,1,5,6,9]		106282.48697481555		89800.23993895804
[0,1,5,6,10]		105644.55732521121		89800.23993895804
[0,1,5,6,11]		91572.53747816774		89800.23993895804
[0,1,5,6,12]		96662.26423974121		89800.23993895804
[0,1,5,6,13]		96187.21678654471		89800.23993895804
[0,1,5,6,14]		108201.97827992847		89800.23993895804
[0,1,5,6,15]		107896.76283318299		89800.23993895804
[0,1,5,6,16]		97856.54198775133		89800.23993895804
[0,1,5,6,17]		92385.61521448212		89800.23993895804
[0,1,5,6,18]		95030.89539858393		89800.23993895804
[0,1,5,6,19]		105722.79739140274		89800.23993895804
[0,1,5,7,8]		90585.36684338862		89800.23993895804
[0,1,5,7,9]		89826.2902521641		89800.23993895804
[0,1,5,7,10]		89384.54220043843		89800.23993895804
[0,1,5,7,11]		88521.65584731998		89800.23993895804
[0,1,5,7,12]		86948.99100726588		89800.23993895804
[0,1,5,7,13]		91806.49041946244		89800.23993895804
[0,1,5,7,14]		91591.66551460754		89800.23993895804
[0,1,5,7,15]		91867.59233271141		89800.23993895804
[0,1,5,7,16]		87300.22813555769		89800.23993895804
[0,1,5,7,17]		93067.43731231193		89800.23993895804
[0,1,5,7,18]		85983.43214044921		89800.23993895804
[0,1,5,7,19]		89329.4545622941		89800.23993895804
[0,1,5,8,9]		106939.2990681791		89800.23993895804
[0,1,5,8,10]		105203.54476745146		89800.23993895804
[0,1,5,8,11]		89931.45613682334		89800.23993895804
[0,1,5,8,12]		95266.37227312473		89800.23993895804
[0,1,5,8,13]		94471.07259176753		89800.23993895804
[0,1,5,8,14]		105980.18246750088		89800.23993895804
[0,1,5,8,15]		106288.39726500679		89800.23993895804
[0,1,5,8,16]		96640.69294807219		89800.23993895804
[0,1,5,8,17]		90585.36684338859		89800.23993895804
[0,1,5,8,18]		93610.67075365371		89800.23993895804
[0,1,5,8,19]		105763.01434509354		89800.23993895804
[0,1,5,9,10]		104724.90536698798		89800.23993895804
[0,1,5,9,11]		89101.17868780554		89800.23993895804
[0,1,5,9,12]		94446.12658689647		89800.23993895804
[0,1,5,9,13]		93535.08153013635		89800.23993895804
[0,1,5,9,14]		105120.58258852627		89800.23993895804
[0,1,5,9,15]		105366.5278576508		89800.23993895804
[0,1,5,9,16]		95928.37259377318		89800.23993895804
[0,1,5,9,17]		89826.2902521641		89800.23993895804
[0,1,5,9,18]		92658.08029413436		89800.23993895804
[0,1,5,9,19]		105498.95617576182		89800.23993895804
[0,1,5,10,11]		89019.23771967893		89800.23993895804
[0,1,5,10,12]		94787.94894341604		89800.23993895804
[0,1,5,10,13]		93367.03853457022		89800.23993895804
[0,1,5,10,14]		104398.02635882153		89800.23993895804
[0,1,5,10,15]		104671.51271467887		89800.23993895804
[0,1,5,10,16]		96494.75646736687		89800.23993895804
[0,1,5,10,17]		89384.54220043843		89800.23993895804
[0,1,5,10,18]		93103.56685524408		89800.23993895804
[0,1,5,10,19]		104875.69978636975		89800.23993895804
[0,1,5,11,12]		88557.39232301762		89800.23993895804
[0,1,5,11,13]		91004.80631276325		89800.23993895804
[0,1,5,11,14]		91028.56190907606		89800.23993895804
[0,1,5,11,15]		91061.15034434068		89800.23993895804
[0,1,5,11,16]		88509.07046887522		89800.23993895804
[0,1,5,11,17]		88521.65584731995		89800.23993895804
[0,1,5,11,18]		87863.7063276722		89800.23993895804
[0,1,5,11,19]		88850.20633953408		89800.23993895804
[0,1,5,12,13]		90978.40780081833		89800.23993895804
[0,1,5,12,14]		95742.35592510112		89800.23993895804
[0,1,5,12,15]		95733.05755181037		89800.23993895804
[0,1,5,12,16]		93509.40506598611		89800.23993895804
[0,1,5,12,17]		86948.99100726588		89800.23993895804
[0,1,5,12,18]		95658.13233693605		89800.23993895804
[0,1,5,12,19]		94186.80691895002		89800.23993895804
[0,1,5,13,14]		95440.7164924817		89800.23993895804
[0,1,5,13,15]		95334.16946922799		89800.23993895804
[0,1,5,13,16]		91034.959412289		89800.23993895804
[0,1,5,13,17]		91806.49041946244		89800.23993895804
[0,1,5,13,18]		90040.837652888		89800.23993895804
[0,1,5,13,19]		93103.27438138088		89800.23993895804
[0,1,5,14,15]		106676.6952584259		89800.23993895804
[0,1,5,14,16]		96748.72478884546		89800.23993895804
[0,1,5,14,17]		91591.66551460754		89800.23993895804
[0,1,5,14,18]		93975.95762490341		89800.23993895804
[0,1,5,14,19]		104545.41615554178		89800.23993895804
[0,1,5,15,16]		97006.58672948656		89800.23993895804
[0,1,5,15,17]		91867.59233271141		89800.23993895804
[0,1,5,15,18]		94080.36841392331		89800.23993895804
[0,1,5,15,19]		104839.84667550275		89800.23993895804
[0,1,5,16,17]		87300.22813555769		89800.23993895804
[0,1,5,16,18]		92517.69504998886		89800.23993895804
[0,1,5,16,19]		95922.56917589817		89800.23993895804
[0,1,5,17,18]		85983.43214044921		89800.23993895804
[0,1,5,17,19]		89329.4545622941		89800.23993895804
[0,1,5,18,19]		92472.15883381982		89800.23993895804
[0,1,6,7,8]		95605.58797715018		89800.23993895804
[0,1,6,7,9]		92406.74671167256		89800.23993895804
[0,1,6,7,10]		93164.47840337172		89800.23993895804
[0,1,6,7,11]		97065.08480413194		89800.23993895804
[0,1,6,7,12]		95945.2064687529		89800.23993895804
[0,1,6,7,13]		103198.02409945716		89800.23993895804
[0,1,6,7,14]		103619.77120255343		89800.23993895804
[0,1,6,7,15]		102960.6973123541		89800.23993895804
[0,1,6,7,16]		94562.1599842222		89800.23993895804
[0,1,6,7,17]		104472.53667584437		89800.23993895804
[0,1,6,7,18]		94621.27236395667		89800.23993895804
[0,1,6,7,19]		89782.2634575546		89800.23993895804
[0,1,6,8,9]		115186.26533538176		89800.23993895804
[0,1,6,8,10]		111271.96218951847		89800.23993895804
[0,1,6,8,11]		93805.01949198905		89800.23993895804
[0,1,6,8,12]		102393.99007345845		89800.23993895804
[0,1,6,8,13]		100409.72865315716		89800.23993895804
[0,1,6,8,14]		120205.7784488613		89800.23993895804
[0,1,6,8,15]		116353.75209044389		89800.23993895804
[0,1,6,8,16]		102829.26779784365		89800.23993895804
[0,1,6,8,17]		95605.58797715018		89800.23993895804
[0,1,6,8,18]		100321.14100571672		89800.23993895804
[0,1,6,8,19]		107913.34449388328		89800.23993895804
[0,1,6,9,10]		109525.88454758651		89800.23993895804
[0,1,6,9,11]		91089.04582078096		89800.23993895804
[0,1,6,9,12]		98653.37507130191		89800.23993895804
[0,1,6,9,13]		96962.62311621426		89800.23993895804
[0,1,6,9,14]		114094.58820145286		89800.23993895804
[0,1,6,9,15]		111512.66723042047		89800.23993895804
[0,1,6,9,16]		99946.70929118797		89800.23993895804
[0,1,6,9,17]		92406.74671167256		89800.23993895804
[0,1,6,9,18]		96550.57322019647		89800.23993895804
[0,1,6,9,19]		107585.91346640981		89800.23993895804
[0,1,6,10,11]		92073.20181729547		89800.23993895804
[0,1,6,10,12]		100038.72399361942		89800.23993895804
[0,1,6,10,13]		97396.1587225629		89800.23993895804
[0,1,6,10,14]		111437.0872258939		89800.23993895804
[0,1,6,10,15]		109374.13252326741		89800.23993895804
[0,1,6,10,16]		101624.68435136667		89800.23993895804
[0,1,6,10,17]		93164.47840337172		89800.23993895804
[0,1,6,10,18]		98107.65096789121		89800.23993895804
[0,1,6,10,19]		106964.47744650114		89800.23993895804
[0,1,6,11,12]		96436.6896873773		89800.23993895804
[0,1,6,11,13]		99309.00595675081		89800.23993895804
[0,1,6,11,14]		100058.16336505167		89800.23993895804
